1;Onko ryhm‰ 2 edist‰nyt projektia tehokkaasti?;1;Yleinen;1,2,3
2;Onko Hannu pysynyt aikataulussa?;1;Yleinen;4,5,6
3;Milloin toinen maailmansota alkoi?;2;Historia;7,8,9
4;Mik‰ on maailman suurin nis‰k‰s?;1;Biologia;10,11,12,13
5;Mik‰ on maailman suurin valtameri?;2;Maantiede;14,15,16,17
6;Kuka s‰velsi yhdeks‰nnen sinfonian (Oodi ilolle)?;3;Historia;18,19,20,21
7;Mik‰ on Venezuelan p‰‰kaupunki;3;Maantiede;22,23,24,25
8;Versailles'n rauha oli mink‰ sodan j‰lkeen?;2;Historia;26,27,28,29
9;Mik‰ maa EI kuulunut Neuvostoliittoon?;2;Historia;30,31,32,33
10;Mik‰ joukkue voitti 2019 NBA mestaruuden?;1;Urheilu;34,35,36,37
11; Milloin perustettiin Steam alusta;2;Viihde;38,39,40,41
12;Kuinka monta kautta sarjalla Game of  Thrones on?;1;Viihde;42,43,44,45
13;Mik‰ on pinta-alaltaan pienin Euroopan valtio;2;Maantiede;46,47,48,49
14;Miss‰ j‰rjestettiin 2014 jalkapallon maailmanmestaruus kisat?;1;Urheilu;50,51,52,53
15;Mink‰ maalainen on koripalloilija Steven Adams;3;Urheilu;54,55,56,57
16;Mik‰ peli voitti vuoden 2016 Game of the Year palkinnon?;1;Viihde;58,59,60,61
17;Suomen kansallisel‰in;1;Biologia;62,63,64,65
18;Kuka oli Rooman ensimm‰inen keisari?;2;Historia;66,67,68,69
19;Mik‰ moderni valtio sijaitsee historiallisen Persian alueella?;1;Historia;70,71,72,73
20;Amerikan virallinen kieli?;1;Maantiede;74,75,76,77
21;Suurin saari maailmassa?;1;Maantiede;78,79,80,81
22;Mik‰ on Elder Scrolls videopelisarjan viidennen osan alaotsikko?;2;Viihde;82,83,84,85
23;Mink‰ maalainen on parhaan elokuvan Oscarin voittanut Parasite-elokuva?;1;Viihde;86,87,88,89
24;Miss‰ Mission Impossible elokuvassa Samuli Edelman n‰yttelee pahista;3;Viihde;90,91,92,93
25;Mist‰ on kotoisin suosittu juoma bubble tea?;2;Maantiede;94,95,96,97
26;Puolan p‰‰kaupunki?;2;Maantiede;98,99,100,101
27;Euroopan pisin joki?;3;Maantiede;102,103,104,105
28;Mink‰ el‰imen kanssa Australia l‰hti sotaan vuonna 1932?;2;Biologia;106,107,108,109
29;Ihmiskehon isoin elin;2;Biologia;110,111,112,113
30;Ensimm‰inen el‰in avaruudessa?;3;Biologia;114,115,116,117
31;"Mink‰ el‰imen nimi tulee antiikin kreikan sanoista ""vesi hevonen""?";1;Biologia;118,119,120,121
32;Mink‰ korkeakulttuurin jumalar oli Ishtar?;3;Historia;122,123,124,125
33;Mit‰ valtakuntaa johti Genghis Khan?;1;Historia;126,127,128,129
34;Minne Napoleon karkotettiin sen j‰lkeen kun h‰n h‰visi Waterloon taistelun?;3;Historia;130,131,132,133
35;Mill‰ maalla on eniten jalkapallon maailmankisojen voittoja?;3;Urheilu;134,135,136,137
36;Kuka miesten tennispelaaja on voittanut eniten Grand slam turnauksia?;1;Urheilu;138,139,140,141
37;Mik‰ on maksimim‰‰r‰ pisteit‰ jota voit saada keilauksessa?;3;Urheilu;142,143,144,145
38;Kuka on voittanut eniten Olympia mitalleja?;1;Urhelu;146,147,148,149
39;Mik‰ on parhaiden myyty videopeli konsoli?;3;Viihde;150,151,152,153
40;Kuka n‰ytteli hahmo Walter White hittisarjassa Breaking Bad;2;Viihde;154,155,156,157
41;Mik‰ n‰ist‰ on Toby Foxin kehitt‰m‰ huippu suosittu peli?;1;Viihde;158,159,160,161
42;Kuka s‰velsi Halo trilogian ikonisen musiikin?;3;Viihde;162,163,164,165
43;Mink‰ maan lipussa on lohik‰‰rme?;3;Maantiede;166,167,168,169
44;Mik‰ joki kulkee enimpien valtioiden l‰pi?;2;Maantiede;170,171,172,173
45;Mit‰ vitamiinia saat auringonvalosta?;1;Biologia;174,175,176,177
46;Mill‰ el‰imell‰ on maailman pisin elinik‰?;3;Biologia;178,179,180,181
47;Kuka koripalloilija teki 100 pistett‰ yhdess‰ peliss‰?;1;Urheilu;182,183,184,185
48;Kuka oli ensimm‰inen afrikkalainen joka voitti jalkapallon Ballon D'or palkinnon?;2;Urheilu;186,187,188,189
49;Mill‰ maalla on eniten rugbyn maailmanmestaruus voittoja?;3;Urheilu;190,191,192,193
50;Mik‰ on nopein maael‰in?;1;Biologia;194,195,196,197
51;Mik‰ on maailamn hitain nis‰k‰s?;2;Biologia;198,199,200,201
52;Minl‰ antiikkisen valtion johtaja oli Gilgamesh?;3;Historia;202,203,204,205
